Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,0.1279658857466705,0.0413691943135989,1.0,95.0,0.0065889180331331,"1,825,761","209,200","169,144,295",0.0059146992646909,"422,646,034",0.3461538461538461,"37,208",236,167.0,"41,414,565",149.0,0.0070802991135071,"10,848","1,551,157",0.006247125099221,,1.0,3
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,0.3866838387501734,1.524413481912834e-05,2.492915650220652e-06,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,0.0996620652031931,0.0576617868497317,0.5829329932518641,86.0,0.0021885669174682,"437,980","1,470,500","485,200,392",0.0279489754898953,"1,213,175,656",0.1841491841491841,"309,497",257,194.0,"40,725,482",177.0,0.009470009108712,"36,282",,0.0095575940188724,,1.0,3
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,0.0560204277278658,0.0,3.811797630306807e-09,,0.0090835579636131,,"9,453,333","273,236,305",0.0184634352261862,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,0.0,2
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,0.0017241022483783,0.0059333560301562,0.0025199146128361,35.0,0.0002593339686534,"69,990","37,621,885","1,636,811,753",0.0982653756981817,,0.0,,439,1.0,6,1.0,0.0087015286325158,,,0.0028823463687283,,0.0,2
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,0.7257089233701693,0.7651386962199627,0.513805612493118,78.0,0.0770073813863689,"14,661,425","7,485,966","2,246,991,336",0.1016684903699264,"4,327,058,646",0.5967365967365967,"1,510,151","4,096",166.0,"5,783,693",128.0,0.1344494757448439,"124,922","36,341,585",0.0038880992777336,,1.0,3
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,0.1683585760990996,0.1032265058241064,0.0287057636167903,71.0,1.0,"48,757,673","7,743,800","281,762,094",0.0282020922970585,"2,166,611",0.0372960372960372,284,142,19.0,"52,179",17.0,0.05907175789551,"2,234,137",,0.0093924943777721,,0.0,2
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,0.1380524954189604,0.0443807578367556,0.7528109501266571,87.0,0.0096111897060034,"3,080,503",,,0.001140138899939,"578,568,464",0.2249417249417249,"200,230",32,117.0,"22,062,193",126.0,0.0069051687570633,"7,689","1,612,479",0.0071884360076602,,0.0,0
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256.0,0.2343155857394638,0.0002151116802254,0.0018504485950253,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.1228920227882482,"87,209",,0.0203564972964615,,1.0,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,0.3842323137450851,0.0547289846898072,0.0505424544431005,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,,0.0087015286325158,,,0.0038880992777336,,1.0,1
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,0.0291704472014801,0.0058910112112142,0.0988640831626292,82.0,0.0220486779250652,"4,907,193","212,500","48,327,004",0.0016725011495401,"38,798,822",0.0407925407925407,"2,188",32,3.0,"347,997",26.0,8.932690112870317e-05,592,"265,670",0.0008729334143338,,0.0,2
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,0.1565760068645096,0.1667522032009295,0.5735650736540505,83.0,0.0162460323989453,"2,566,846","2,114,363","369,150,956",0.0168628280389199,"3,031,114,430",0.261072261072261,"486,952","1,215",180.0,"19,469,488",188.0,0.0276153772196749,"27,555","6,049,784",0.0293325527619334,,0.0,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,0.1752095193747895,0.2356743243037241,0.3959671059093829,79.0,0.007241864400386,"1,495,758","1,031,447","196,985,853",0.009568782975149,"1,745,168,821",0.1888111888111888,"378,114",856,113.0,"16,295,286",112.0,0.0138207042473689,"5,331","10,938,075",0.0340223006993503,,0.0,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,0.1242591939528631,0.0398989821999319,0.2572538346903339,,0.0038058638113869,"923,733",,,0.001140138899939,"384,716,227",0.2564102564102564,"151,990",64,42.0,"658,517",47.0,0.0212028322374352,"23,005","1,516,649",0.0038880992777336,,0.0,2
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230.0,0.1119748818169804,1.016275654608556e-05,5.786308802805733e-06,,0.0090835579636131,,,,0.001140138899939,,0.0314685314685314,,,,,1.0,0.0828428036185831,"83,632",,0.016797805652517,,0.0,2
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,0.072855262861289,0.043640570401649,0.6870287305441132,96.0,0.0038408928231874,"837,616",,"27,811,667",0.0016220476513642,"243,895,569",0.1724941724941725,,141,58.0,"26,516,005",146.0,0.0146574744600003,"30,180","4,482,348",0.0077673084348018,,1.0,3
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,0.1810440133025515,0.1494568853522496,0.6884771793374511,87.0,0.0085267494075495,"1,504,385","396,560","49,060,857",0.0025618816376712,"4,016,801,205",0.2494172494172494,"605,841",162,133.0,"42,675,181",120.0,0.1732268505420102,"72,429","5,409,388",0.0478530081060884,,0.0,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,0.1775086765346711,0.3186718632228472,0.3064403641039769,80.0,0.0058016327682031,"1,222,012","1,237,229","311,252,391",0.0140709076185954,"140,623,676",0.1421911421911422,"265,291","4,003",40.0,"2,225,409",88.0,0.0440391761780305,"20,518","33,130,829",0.0179494129567603,,1.0,3
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,0.7173271613338774,0.6355110426818836,0.2473900573977819,71.0,0.2062425390562003,"27,240,268","10,342,366","393,814,740",0.025133481234685,"2,428,166,573",0.6386946386946387,"573,733",169,584.0,"5,749,770",121.0,0.255047844626105,"844,198","37,430,204",0.2040206940170516,,0.0,0
